time,sat_id,x,y,z
31.1,8,-4.12925e+06,5.60964e+06,2.95619e+06
31.1,9,-5.56756e+06,4.9684e+06,1.26872e+06
32.1,0,-2.46241e+06,6.33715e+06,3.32069e+06
32.1,1,-3.56189e+06,6.27925e+06,2.27072e+06
32.1,2,-4.51755e+06,5.96762e+06,1.1289e+06
32.1,3,-3.15461e+06,6.14137e+06,3.09624e+06
32.1,4,-4.21497e+06,5.95174e+06,2.0219e+06
32.1,5,-5.10513e+06,5.52162e+06,865767
32.1,6,-3.23523e+06,5.93871e+06,3.39313e+06
32.1,7,-4.82927e+06,5.55259e+06,1.76898e+06
32.1,8,-4.13402e+06,5.60873e+06,2.95126e+06
32.1,9,-5.57095e+06,4.96603e+06,1.26316e+06
33.1,0,-2.46746e+06,6.33767e+06,3.31597e+06
33.1,1,-3.56635e+06,6.27862e+06,2.26546e+06
33.1,2,-4.52126e+06,5.96587e+06,1.12331e+06
33.1,3,-3.15955e+06,6.14129e+06,3.09139e+06
33.1,4,-4.21921e+06,5.95056e+06,2.01655e+06
33.1,5,-5.1085e+06,5.51939e+06,860134
33.1,6,-3.24035e+06,5.9386e+06,3.38846e+06
33.1,7,-4.83323e+06,5.55089e+06,1.76355e+06
33.1,8,-4.13879e+06,5.60781e+06,2.94632e+06
33.1,9,-5.57433e+06,4.96365e+06,1.2576e+06
34.1,0,-2.47251e+06,6.33818e+06,3.31125e+06
34.1,1,-3.57082e+06,6.27799e+06,2.2602e+06
34.1,2,-4.52496e+06,5.96412e+06,1.11771e+06
34.1,3,-3.16449e+06,6.1412e+06,3.08653e+06
34.1,4,-4.22345e+06,5.94938e+06,2.01119e+06
34.1,5,-5.11186e+06,5.51716e+06,854500
34.1,6,-3.24546e+06,5.93848e+06,3.38379e+06
34.1,7,-4.83717e+06,5.54918e+06,1.75811e+06
34.1,8,-4.14356e+06,5.6069e+06,2.94138e+06
34.1,9,-5.57771e+06,4.96127e+06,1.25203e+06
35.1,0,-2.47755e+06,6.33868e+06,3.30652e+06
35.1,1,-3.57528e+06,6.27735e+06,2.25493e+06
35.1,2,-4.52866e+06,5.96237e+06,1.11212e+06
35.1,3,-3.16942e+06,6.14111e+06,3.08167e+06
35.1,4,-4.22768e+06,5.94819e+06,2.00583e+06
35.1,5,-5.11522e+06,5.51492e+06,848866
35.1,6,-3.25057e+06,5.93835e+06,3.37911e+06
35.1,7,-4.84111e+06,5.54748e+06,1.75267e+06
35.1,8,-4.14833e+06,5.60597e+06,2.93643e+06
35.1,9,-5.58108e+06,4.95889e+06,1.24647e+06
36.1,0,-2.48259e+06,6.33918e+06,3.3018e+06
36.1,1,-3.57974e+06,6.27671e+06,2.24966e+06
36.1,2,-4.53235e+06,5.96061e+06,1.10653e+06
36.1,3,-3.17436e+06,6.14101e+06,3.0768e+06
36.1,4,-4.23191e+06,5.947e+06,2.00048e+06
36.1,5,-5.11858e+06,5.51268e+06,843230
36.1,6,-3.25568e+06,5.93823e+06,3.37443e+06
36.1,7,-4.84505e+06,5.54576e+06,1.74723e+06
36.1,8,-4.15309e+06,5.60505e+06,2.93148e+06
36.1,9,-5.58445e+06,4.9565e+06,1.2409e+06
37.1,0,-2.48763e+06,6.33968e+06,3.29707e+06
37.1,1,-3.58419e+06,6.27606e+06,2.2444e+06
37.1,2,-4.53605e+06,5.95885e+06,1.10094e+06
37.1,3,-3.17929e+06,6.1409e+06,3.07193e+06
37.1,4,-4.23614e+06,5.9458e+06,1.99512e+06
37.1,5,-5.12193e+06,5.51044e+06,837594
37.1,6,-3.26078e+06,5.93809e+06,3.36975e+06
37.1,7,-4.84899e+06,5.54405e+06,1.74179e+06
37.1,8,-4.15785e+06,5.60411e+06,2.92653e+06
37.1,9,-5.58782e+06,4.95411e+06,1.23533e+06
38.1,0,-2.49266e+06,6.34017e+06,3.29233e+06
38.1,1,-3.58864e+06,6.27541e+06,2.23912e+06
38.1,2,-4.53973e+06,5.95708e+06,1.09534e+06
38.1,3,-3.18421e+06,6.14079e+06,3.06706e+06
38.1,4,-4.24036e+06,5.94459e+06,1.98975e+06
38.1,5,-5.12528e+06,5.50819e+06,831957
38.1,6,-3.26588e+06,5.93796e+06,3.36506e+06
38.1,7,-4.85291e+06,5.54233e+06,1.73635e+06
38.1,8,-4.1626e+06,5.60318e+06,2.92158e+06
38.1,9,-5.59118e+06,4.95172e+06,1.22976e+06
39.1,0,-2.4977e+06,6.34065e+06,3.2876e+06
39.1,1,-3.59309e+06,6.27475e+06,2.23385e+06
39.1,2,-4.54342e+06,5.9553e+06,1.08974e+06
39.1,3,-3.18914e+06,6.14068e+06,3.06219e+06
39.1,4,-4.24458e+06,5.94339e+06,1.98439e+06
39.1,5,-5.12862e+06,5.50594e+06,826319
39.1,6,-3.27098e+06,5.93781e+06,3.36037e+06
39.1,7,-4.85684e+06,5.5406e+06,1.7309e+06
39.1,8,-4.16735e+06,5.60224e+06,2.91662e+06
39.1,9,-5.59453e+06,4.94932e+06,1.22419e+06
40.1,0,-2.50273e+06,6.34113e+06,3.28286e+06
40.1,1,-3.59754e+06,6.27409e+06,2.22858e+06
40.1,2,-4.5471e+06,5.95353e+06,1.08415e+06
40.1,3,-3.19406e+06,6.14056e+06,3.05731e+06
40.1,4,-4.24879e+06,5.94217e+06,1.97902e+06
40.1,5,-5.13196e+06,5.50368e+06,820681
40.1,6,-3.27608e+06,5.93767e+06,3.35568e+06
40.1,7,-4.86076e+06,5.53887e+06,1.72545e+06
40.1,8,-4.1721e+06,5.60129e+06,2.91167e+06
40.1,9,-5.59788e+06,4.94692e+06,1.21862e+06
41.1,0,-2.50776e+06,6.34161e+06,3.27811e+06
41.1,1,-3.60198e+06,6.27342e+06,2.2233e+06
41.1,2,-4.55077e+06,5.95174e+06,1.07855e+06
41.1,3,-3.19897e+06,6.14044e+06,3.05243e+06
41.1,4,-4.253e+06,5.94095e+06,1.97365e+06
41.1,5,-5.13529e+06,5.50142e+06,815041
41.1,6,-3.28117e+06,5.93751e+06,3.35099e+06
41.1,7,-4.86468e+06,5.53714e+06,1.72001e+06
41.1,8,-4.17685e+06,5.60034e+06,2.9067e+06
41.1,9,-5.60123e+06,4.94451e+06,1.21305e+06
42.1,0,-2.51278e+06,6.34208e+06,3.27337e+06
42.1,1,-3.60642e+06,6.27275e+06,2.21802e+06
42.1,2,-4.55445e+06,5.94995e+06,1.07295e+06
42.1,3,-3.20389e+06,6.14031e+06,3.04755e+06
42.1,4,-4.25721e+06,5.93973e+06,1.96828e+06
42.1,5,-5.13862e+06,5.49915e+06,809401
42.1,6,-3.28626e+06,5.93736e+06,3.34629e+06
42.1,7,-4.86859e+06,5.5354e+06,1.71456e+06
42.1,8,-4.18159e+06,5.59939e+06,2.90174e+06
42.1,9,-5.60457e+06,4.9421e+06,1.20747e+06
43.1,0,-2.51781e+06,6.34254e+06,3.26862e+06
43.1,1,-3.61086e+06,6.27207e+06,2.21274e+06
43.1,2,-4.55812e+06,5.94816e+06,1.06735e+06
43.1,3,-3.2088e+06,6.14017e+06,3.04266e+06
43.1,4,-4.26141e+06,5.9385e+06,1.96291e+06
43.1,5,-5.14195e+06,5.49688e+06,803760
43.1,6,-3.29135e+06,5.9372e+06,3.34159e+06
43.1,7,-4.8725e+06,5.53365e+06,1.70911e+06
43.1,8,-4.18632e+06,5.59843e+06,2.89677e+06
43.1,9,-5.6079e+06,4.93969e+06,1.2019e+06
44.1,0,-2.52283e+06,6.343e+06,3.26387e+06
44.1,1,-3.61529e+06,6.27139e+06,2.20746e+06
44.1,2,-4.56178e+06,5.94636e+06,1.06175e+06
44.1,3,-3.21371e+06,6.14003e+06,3.03777e+06
44.1,4,-4.26561e+06,5.93727e+06,1.95754e+06
44.1,5,-5.14527e+06,5.4946e+06,798119
44.1,6,-3.29643e+06,5.93703e+06,3.33688e+06
44.1,7,-4.8764e+06,5.53191e+06,1.70365e+06
44.1,8,-4.19105e+06,5.59747e+06,2.89181e+06
44.1,9,-5.61123e+06,4.93727e+06,1.19632e+06
45.1,0,-2.52785e+06,6.34346e+06,3.25911e+06
45.1,1,-3.61972e+06,6.2707e+06,2.20217e+06
45.1,2,-4.56544e+06,5.94456e+06,1.05615e+06
45.1,3,-3.21862e+06,6.13989e+06,3.03288e+06
45.1,4,-4.26981e+06,5.93603e+06,1.95216e+06
45.1,5,-5.14858e+06,5.49232e+06,792477
