time,delay_sec
89.0059,0.0159052
89.0101,0.0151021
89.0105,0.0154943
89.0109,0.0159215
89.0151,0.0150872
89.0155,0.0154795
89.0159,0.0159067
89.0201,0.0151119
89.0205,0.0154957
89.0209,0.0159314
89.0229,0.0379298
89.0251,0.015097
89.0255,0.0154809
89.0259,0.0159166
89.027,0.0369818
89.0301,0.0151132
89.0305,0.0154972
89.0309,0.0159328
89.031,0.0360027
89.033,0.0330329
89.0351,0.0150983
89.0355,0.0154824
89.0359,0.015918
89.0371,0.0320538
89.0401,0.0150835
89.0405,0.0154676
89.0409,0.0159343
89.0411,0.0311058
89.0451,0.0150997
89.0451,0.0301267
89.0455,0.0154838
89.0459,0.0159194
89.0501,0.0150848
89.0505,0.015469
89.0509,0.0159357
89.0551,0.015101
89.0555,0.0154853
89.0559,0.0159208
89.0601,0.0150861
89.0605,0.0154705
89.0609,0.0159371
89.0651,0.0151023
89.0655,0.0154867
89.0701,0.0151355
89.0705,0.01552
89.071,0.0159555
89.0751,0.0151149
89.0755,0.0154994
89.0759,0.0159349
89.0801,0.0150774
89.0805,0.0154931
89.0809,0.0158974
89.0851,0.0151021
89.0855,0.0155178
89.0859,0.0159222
89.0901,0.0150957
89.0905,0.0154804
89.0909,0.0159158
89.0951,0.0151203
89.0955,0.0155051
89.0959,0.0159405
89.1001,0.0151055
89.1005,0.0154903
89.1009,0.0159257
89.1051,0.0151217
89.1055,0.0155066
89.1059,0.015942
89.1101,0.0151068
89.1105,0.0154917
89.1109,0.0159271
89.1151,0.015123
89.1155,0.015508
89.1159,0.0159434
89.1201,0.0150855
89.1205,0.0154932
89.1209,0.0159059
89.1251,0.0151017
89.1255,0.0155095
89.1259,0.0159222
89.1301,0.0150868
89.1305,0.0154946
89.1309,0.0159073
89.1351,0.015103
89.1355,0.0155109
89.1359,0.0159236
89.1401,0.0150882
89.1405,0.0154961
89.1409,0.0159088
89.1451,0.0151044
89.1455,0.0155124
89.1459,0.015925
89.1501,0.0150895
89.1505,0.0154975
89.1509,0.0159102
89.1551,0.0150746
89.1555,0.0154827
89.1559,0.0159265
89.1601,0.0150908
89.1605,0.015499
89.1609,0.0159116
89.1651,0.0150759
89.1655,0.0154842
89.1701,0.0151402
89.1705,0.0155174
89.171,0.0159611
89.1751,0.0150885
89.1755,0.0154969
89.1759,0.0159405
89.1801,0.0151132
89.1805,0.0154905
89.1809,0.0159342
89.1851,0.0150757
89.1855,0.0154841
89.1859,0.0159278
89.1901,0.0151004
89.1905,0.0155089
89.1909,0.0159214
89.1935,0.0235465
89.1951,0.0150939
89.1955,0.0155025
89.1959,0.0159462
89.2001,0.0151102
89.2005,0.0155188
89.2009,0.0159313
89.2051,0.0150953
89.2055,0.015504
89.2059,0.0159165
89.2101,0.0151115
89.2105,0.0155203
89.2109,0.0159327
89.2149,0.0398924
89.2151,0.0150966
89.2155,0.0155054
89.2159,0.0159179
89.2189,0.0389133
89.2201,0.0151213
89.2205,0.0155217
89.2209,0.0159426
89.2251,0.0151064
