time_sec,fading_linear
60.256,0.997244
60.266,1.07061
60.27,1.10938
60.3159,1.26798
60.366,1.25845
60.37,1.24802
60.416,1.14742
60.426,1.11888
60.436,1.1175
60.446,1.06629
60.456,0.979659
60.466,0.98352
60.47,1.01402
60.516,0.896941
60.566,0.853412
60.57,0.833283
60.616,0.861453
60.626,0.884727
60.636,0.846554
60.646,0.829683
60.656,0.898961
60.666,0.933907
60.67,0.917782
60.716,1.01227
60.766,1.16548
60.7701,1.21682
60.816,1.33261
60.826,1.22771
60.836,1.20144
60.846,1.29704
60.856,1.32152
60.866,1.2686
60.87,1.25639
60.916,1.39302
60.966,1.47007
60.97,1.47995
61.016,1.47093
61.026,1.35826
61.036,1.31264
61.046,1.35726
61.056,1.27666
61.066,1.14734
61.0701,1.13722
61.116,1.04306
61.166,0.88777
61.17,0.850537
61.216,0.922073
61.226,1.03424
61.236,1.07487
61.246,1.08754
61.256,1.10581
61.266,1.11456
61.27,1.12578
61.316,1.20248
61.366,1.01134
61.37,1.00637
61.416,1.0948
61.426,1.10455
61.436,1.0976
61.446,1.148
61.456,1.15853
61.466,1.13937
61.47,1.16378
61.516,1.31461
61.566,1.32726
61.57,1.33644
61.616,1.28163
61.626,1.19232
61.636,1.07483
61.646,1.12367
61.656,1.11134
61.666,0.945624
61.6701,0.914502
61.716,1.08027
61.766,1.22044
61.77,1.2021
61.816,1.34591
61.826,1.4389
61.836,1.34587
61.846,1.32501
61.856,1.46303
61.866,1.4805
61.8701,1.43298
61.916,1.32645
61.966,1.27121
61.9701,1.23443
62.016,1.13107
62.026,1.16232
62.036,1.0765
62.046,1.01329
62.056,1.12586
62.066,1.22134
62.0701,1.21561
62.116,1.29769
62.166,1.28224
62.17,1.2598
62.216,1.13503
62.226,1.08695
62.236,1.059
62.246,1.08611
62.256,1.07006
62.266,0.97439
62.2701,0.952113
62.316,1.10674
62.366,0.996769
62.37,0.943582
62.4161,0.81243
62.426,0.85248
62.436,0.929211
62.446,0.936688
62.4561,0.934428
62.466,0.942136
62.4701,0.946957
62.516,0.999598
62.566,1.23111
62.5701,1.23992
62.616,1.37651
62.626,1.45881
62.636,1.52668
62.646,1.48079
62.656,1.45204
62.666,1.51444
62.6701,1.53237
62.716,1.36171
62.766,1.2702
62.7701,1.32707
62.816,1.17705
62.8261,1.12129
62.8361,1.0627
62.846,1.06842
62.856,1.05043
62.866,0.982354
62.8701,0.953253
62.916,0.775192
62.966,0.666924
62.9701,0.68317
63.016,0.747572
63.026,0.70681
63.036,0.636504
63.046,0.597437
63.056,0.5968
63.066,0.619788
63.07,0.632805
63.1161,0.747426
63.1661,0.941956
63.1701,0.922563
63.2161,1.07305
63.226,1.09849
63.236,1.16607
63.2461,1.18783
63.2561,1.15446
63.2661,1.20256
63.2701,1.2485
63.3161,1.48767
63.3661,1.3457
63.3701,1.33915
63.416,1.26223
63.426,1.15083
63.436,1.11535
63.4461,1.27893
63.456,1.31982
63.466,1.17311
63.4701,1.14349
63.516,1.23259
63.5661,1.17104
63.5701,1.16097
63.6161,1.19707
63.6261,1.13475
63.6361,1.04029
63.646,1.13136
63.6561,1.20593
63.6661,1.0988
63.6701,1.06852
63.7161,1.12457
63.7661,1.17623
63.7701,1.16666
63.8161,1.1825
63.8261,1.27649
63.836,1.28919
63.846,1.23373
63.8561,1.20657
63.8661,1.22316
63.8701,1.23456
63.9161,1.29269
63.9661,1.02481
63.9701,1.01322
64.0161,0.981443
64.0261,1.01031
64.0361,0.916351
64.0461,0.851
64.0561,0.875423
64.0661,0.873947
64.0701,0.855894
64.1161,0.712977
64.1661,0.710607
64.1701,0.677133
64.2161,0.811324
64.2261,0.880969
64.2361,0.806573
64.2461,0.817994
64.2561,0.938473
64.2661,0.931856
64.2701,0.903206
64.3161,0.916059
64.3661,0.951469
64.3701,0.902367
64.4161,0.603054
64.4261,0.595166
64.4361,0.669125
64.4461,0.73174
64.4561,0.788813
64.4661,0.82686
64.4701,0.834829
64.5161,1.11358
64.5661,1.16526
64.5701,1.15536
64.6161,1.0487
64.6261,0.963872
64.6361,0.892457
64.6461,0.864106
