time_sec,sinr_db
3.06455,4.97825
3.06479,4.53714
3.06483,3.31488
3.06667,8.36431
3.06807,5.08758
3.06957,4.9764
3.06981,4.53843
3.06984,3.31733
3.11162,8.37633
3.11302,5.06993
3.11452,4.95973
3.11476,4.54997
3.1148,3.33934
3.16162,8.38963
3.16301,5.05026
3.16451,4.9411
3.16475,4.56278
3.16479,3.36368
3.16667,8.39095
3.16806,5.0483
3.16956,4.93924
3.1698,4.56406
3.16984,3.36611
3.21162,8.40286
3.21194,8.40286
3.21302,5.03055
3.21333,5.03016
3.21452,4.92238
3.21476,4.57556
3.21479,3.3879
3.21507,4.57556
3.26165,8.41601
3.26305,5.01079
3.26455,4.90355
3.26479,4.58832
3.26482,3.41201
3.26664,8.41732
3.26803,5.00881
3.26953,4.90166
3.26977,4.5896
3.26981,3.41442
3.31165,8.4291
3.31305,4.99098
3.31455,4.88462
3.31479,4.60107
3.31483,3.436
3.36165,8.44212
3.36304,4.97112
3.36454,4.86558
3.36478,4.61378
3.36482,3.45988
3.36666,8.44342
3.36806,4.96913
3.36956,4.86368
3.3698,4.61505
3.36983,3.46226
3.41162,8.45507
3.41194,8.45507
3.41301,4.95121
3.41333,4.95081
3.41451,4.84644
3.41475,4.62648
3.41479,3.48364
3.41483,4.84644
3.41507,4.62648
3.41511,3.48364
3.46162,8.46796
3.46302,4.93125
3.46451,4.8272
3.46476,4.63915
3.46479,3.50729
3.46667,8.46924
3.46806,4.92926
3.46956,4.82527
3.4698,4.64042
3.46984,3.50965
3.51165,8.48078
3.51305,4.91124
3.51455,4.80784
3.51479,4.65181
3.51482,3.53083
3.56165,8.49353
3.56304,4.89118
3.56454,4.78838
3.56478,4.66444
3.56482,3.55426
3.56666,8.4948
3.56806,4.88918
3.56956,4.78643
3.5698,4.6657
3.56983,3.5566
3.61165,8.50621
3.61197,8.50621
3.61304,4.87107
3.61336,4.87067
3.61454,4.76881
3.61478,4.67705
3.61482,3.57758
3.6151,4.67705
3.66165,8.51883
3.66304,4.85091
3.66454,4.74912
3.66478,4.68964
3.66482,3.60079
3.66667,8.52009
3.66806,4.84889
3.66956,4.74715
3.6698,4.6909
3.66984,3.60311
3.71165,8.53139
3.71305,4.83069
3.71454,4.72933
3.71479,4.70221
3.71482,3.6239
3.76165,8.54388
3.76304,4.81043
3.76454,4.70942
3.76478,4.71475
3.76481,3.64689
3.76666,8.54513
3.76806,4.8084
3.76955,4.70742
3.7698,4.71601
3.76983,3.64919
3.81165,8.55631
3.81197,8.55631
3.81304,4.79011
3.81336,4.7897
3.81454,4.6894
3.81478,4.72728
3.81482,3.66979
3.8151,4.72728
3.86165,8.56868
3.86304,4.76974
3.86454,4.66926
3.86478,4.73978
3.86482,3.69257
3.8667,8.56991
3.86809,4.7677
3.86959,4.66724
3.86983,4.74103
3.86986,3.69485
3.91168,8.58098
3.91308,4.74931
3.91457,4.64901
3.91481,4.75227
3.91485,3.71526
3.96168,8.59322
3.96307,4.72883
3.96457,4.62864
3.96481,4.76473
3.96484,3.73784
3.96666,8.59444
3.96805,4.72678
3.96955,4.6266
3.96979,4.76597
3.96983,3.7401
4.01165,8.6054
4.01197,8.6054
4.01304,4.7083
4.01336,4.70789
4.01454,4.60815
4.01478,4.77717
4.01481,3.76033
4.0151,4.77717
4.06165,8.61752
4.06304,4.68772
4.06454,4.58754
4.06478,4.78959
4.06482,3.78271
4.06667,8.61873
4.06806,4.68565
4.06955,4.58548
4.0698,4.79083
4.06983,3.78494
4.11165,8.62957
4.11304,4.66708
4.11454,4.56681
4.11478,4.80199
4.11482,3.80499
4.16168,8.64157
4.16307,4.64638
4.16456,4.54596
4.16481,4.81436
4.16484,3.82718
4.16669,8.64277
4.16808,4.64431
4.16958,4.54387
4.16982,4.8156
4.16986,3.82939
4.21168,8.65351
4.212,8.65351
4.21307,4.62563
4.21339,4.62522
4.21457,4.52498
4.21481,4.82672
4.21484,3.84926
4.21513,4.82672
4.26165,8.66538
4.26304,4.60483
