time,ut_id,visible_count,closest_sat_id,distance_km
91.1,16,6,3,1364.87
91.1,18,4,0,1372.09
91.1,20,8,1,1203.03
92.1,12,4,0,1261.27
92.1,14,4,0,1325.99
92.1,16,6,3,1364.72
92.1,18,4,0,1371.27
92.1,20,8,1,1203.62
93.1,12,4,0,1260.96
93.1,14,4,0,1325.62
93.1,16,6,3,1364.59
93.1,18,4,0,1370.47
93.1,20,8,1,1204.24
94.1,12,4,0,1260.68
94.1,14,4,0,1325.27
94.1,16,6,3,1364.49
94.1,18,4,0,1369.71
94.1,20,7,1,1204.89
95.1,12,4,0,1260.44
95.1,14,4,0,1324.95
95.1,16,6,3,1364.42
95.1,18,4,0,1368.98
95.1,20,7,1,1205.58
96.1,12,4,0,1260.23
96.1,14,4,0,1324.66
96.1,16,6,3,1364.38
96.1,18,4,0,1368.27
96.1,20,7,1,1206.3
97.1,12,4,0,1260.05
97.1,14,4,0,1324.4
97.1,16,6,3,1364.37
97.1,18,4,0,1367.6
97.1,20,7,1,1207.05
98.1,12,4,0,1259.9
98.1,14,4,0,1324.17
98.1,16,6,0,1364.01
98.1,18,4,0,1366.95
98.1,20,7,1,1207.84
99.1,12,4,0,1259.78
99.1,14,4,0,1323.98
99.1,16,6,0,1361.24
99.1,18,4,0,1366.33
99.1,20,7,1,1208.66
100.1,12,4,0,1259.7
100.1,14,4,0,1323.81
100.1,16,6,0,1358.49
100.1,18,4,0,1365.74
100.1,20,7,1,1209.51
101.1,12,4,0,1259.64
101.1,14,4,0,1323.67
101.1,16,6,0,1355.76
101.1,18,4,0,1365.18
101.1,20,7,1,1210.4
102.1,12,4,0,1259.62
102.1,14,4,0,1323.56
102.1,16,6,0,1353.06
102.1,18,4,0,1364.65
102.1,20,7,1,1211.31
103.1,12,4,0,1259.63
103.1,14,4,0,1323.49
103.1,16,5,0,1350.38
103.1,18,4,0,1364.15
103.1,20,7,1,1212.26
104.1,12,4,0,1259.68
104.1,14,4,0,1323.44
104.1,16,4,0,1347.73
104.1,18,4,0,1363.67
104.1,20,7,1,1213.25
105.1,12,4,0,1259.75
105.1,14,4,0,1323.43
105.1,16,4,0,1345.1
105.1,18,4,0,1363.23
105.1,20,7,1,1214.26
106.1,12,4,0,1259.86
106.1,14,4,0,1323.44
106.1,16,4,0,1342.49
106.1,18,4,0,1362.81
106.1,20,6,1,1215.31
107.1,12,4,0,1260
107.1,14,4,0,1323.48
107.1,16,4,0,1339.91
107.1,18,4,0,1362.43
107.1,20,6,1,1216.39
108.1,12,4,0,1260.17
108.1,14,4,0,1323.56
108.1,16,4,0,1337.36
108.1,18,4,0,1362.07
108.1,20,6,1,1217.5
109.1,12,4,0,1260.37
109.1,14,4,0,1323.67
109.1,16,4,0,1334.83
109.1,18,4,0,1361.75
109.1,20,6,1,1218.65
110.1,12,4,0,1260.61
110.1,14,4,0,1323.8
110.1,16,4,0,1332.33
110.1,18,4,0,1361.45
110.1,20,6,1,1219.83
111.1,12,4,0,1260.87
111.1,14,4,0,1323.97
111.1,16,4,0,1329.85
111.1,18,4,0,1361.18
111.1,20,6,1,1221.03
112.1,12,4,0,1261.17
112.1,14,4,0,1324.16
112.1,16,4,0,1327.4
112.1,18,4,0,1360.94
112.1,20,6,1,1222.27
113.1,12,4,0,1261.5
113.1,14,4,0,1324.39
113.1,16,4,0,1324.97
113.1,18,4,0,1360.73
113.1,20,6,1,1223.55
114.1,12,4,0,1261.86
114.1,14,4,0,1324.65
114.1,16,4,0,1322.57
114.1,18,4,0,1360.55
114.1,20,6,1,1224.85
115.1,12,4,0,1262.26
115.1,14,4,0,1324.93
115.1,16,4,0,1320.2
115.1,18,4,0,1360.4
115.1,20,6,1,1226.19
116.1,12,4,0,1262.68
116.1,14,4,0,1325.25
116.1,16,4,0,1317.85
116.1,18,4,0,1360.28
116.1,20,6,1,1227.55
117.1,12,4,0,1263.14
117.1,14,4,0,1325.6
117.1,16,4,0,1315.53
117.1,18,4,0,1360.19
117.1,20,6,1,1228.95
118.1,12,4,0,1263.63
118.1,14,3,0,1325.97
118.1,16,4,0,1313.23
118.1,18,4,0,1360.13
118.1,20,6,1,1230.38
119.1,12,4,0,1264.15
119.1,14,3,0,1326.38
119.1,16,4,0,1310.96
119.1,18,4,0,1360.09
119.1,20,6,1,1231.84
120.1,12,4,0,1264.7
120.1,14,3,0,1326.82
120.1,16,4,0,1308.72
120.1,18,4,0,1360.09
120.1,20,6,1,1233.33
121.1,12,4,0,1265.29
121.1,14,3,0,1327.29
121.1,16,4,0,1306.5
121.1,18,4,0,1360.12
121.1,20,6,1,1234.86
122.1,12,4,0,1265.9
122.1,14,3,0,1327.79
122.1,16,4,0,1304.32
122.1,18,4,0,1360.17
122.1,20,6,1,1236.41
123.1,12,4,0,1266.55
123.1,14,3,0,1328.31
123.1,16,4,0,1302.16
123.1,18,4,0,1360.26
123.1,20,6,1,1238
124.1,12,3,0,1267.23
124.1,14,3,0,1328.87
124.1,16,4,0,1300.02
124.1,18,4,0,1360.37
124.1,20,6,1,1239.61
125.1,12,3,0,1267.93
125.1,14,3,0,1329.46
125.1,16,4,0,1297.92
125.1,18,4,0,1360.52
125.1,20,6,1,1241.26
126.1,12,3,0,1268.68
126.1,14,3,0,1330.08
126.1,16,4,0,1295.84
126.1,18,3,0,1360.69
126.1,20,6,1,1242.93
127.1,12,3,0,1269.45
127.1,14,3,0,1330.72
127.1,16,4,0,1293.79
127.1,18,3,0,1360.89
127.1,20,6,1,1244.64
128.1,12,3,0,1270.25
128.1,14,3,0,1331.4
128.1,16,4,0,1291.77
128.1,18,3,0,1361.12
128.1,20,6,1,1246.37
129.1,12,3,0,1271.09
129.1,14,3,0,1332.11
129.1,16,4,0,1289.77
129.1,18,3,0,1361.39
129.1,20,6,1,1248.14
130.1,12,3,0,1271.95
130.1,14,3,0,1332.85
130.1,16,4,0,1287.81
130.1,18,3,0,1361.68
130.1,20,6,1,1249.93
131.1,12,3,0,1272.85
131.1,14,3,0,1333.61
131.1,16,4,0,1285.87
131.1,18,3,0,1362
131.1,20,6,1,1251.76
132.1,12,3,0,1273.78
132.1,14,3,0,1334.41
132.1,16,4,0,1283.96
132.1,18,3,0,1362.35
132.1,20,6,1,1253.61
133.1,12,3,0,1274.73
133.1,14,3,0,1335.23
133.1,16,4,0,1282.08
133.1,18,3,0,1362.72
133.1,20,6,1,1255.5
134.1,12,3,0,1275.72
134.1,14,3,0,1336.09
134.1,16,4,0,1280.22
134.1,18,3,0,1363.13
134.1,20,6,1,1257.41
135.1,12,3,0,1276.74
135.1,14,3,0,1336.97
135.1,16,4,0,1278.4
135.1,18,3,0,1363.57
135.1,20,6,1,1259.36
136.1,12,3,0,1277.79
136.1,14,3,0,1337.89
136.1,16,4,0,1276.61
136.1,18,3,0,1364.04
136.1,20,6,1,1261.33
137.1,12,3,0,1278.88
137.1,14,3,0,1338.83
137.1,16,4,0,1274.84
137.1,18,3,0,1364.53
137.1,20,6,1,1263.33
138.1,12,3,0,1279.99
138.1,14,3,0,1339.8
138.1,16,4,0,1273.1
138.1,18,3,0,1365.06
138.1,20,6,1,1265.36
139.1,12,3,0,1281.13
139.1,14,3,0,1340.81
139.1,16,4,0,1271.4
139.1,18,3,0,1365.61
139.1,20,6,1,1267.42
140.1,12,3,0,1282.3
140.1,14,3,0,1341.84
140.1,16,4,0,1269.72
140.1,18,3,0,1366.19
140.1,20,6,1,1269.5
141.1,12,3,0,1283.51
141.1,14,3,0,1342.9
141.1,16,4,0,1268.07
141.1,18,3,0,1366.81
141.1,20,6,1,1271.62
142.1,12,3,0,1284.74
142.1,14,3,0,1343.99
142.1,16,4,0,1266.45
142.1,18,3,0,1367.45
142.1,20,6,1,1273.76
143.1,12,3,0,1286
143.1,14,3,0,1345.1
143.1,16,4,0,1264.87
143.1,18,3,0,1368.12
143.1,20,6,1,1275.93
144.1,12,3,0,1287.29
144.1,14,3,0,1346.25
