time_sec,rx_power_watts
11.0247,1.77515e-20
11.0347,1.77133e-20
11.0447,1.92694e-20
11.0547,1.82413e-20
11.0647,1.72972e-20
11.0696,1.79701e-20
11.1147,1.92524e-20
11.1647,1.39505e-20
11.1696,1.27033e-20
11.2147,1.17652e-20
11.2247,1.12984e-20
11.2347,1.06459e-20
11.2447,1.1532e-20
11.2547,1.22704e-20
11.2647,1.15958e-20
11.2696,1.14604e-20
11.3147,1.46133e-20
11.3647,1.68848e-20
11.3695,1.73619e-20
11.4147,1.80563e-20
11.4247,1.72425e-20
11.4347,1.68813e-20
11.4447,1.82656e-20
11.4547,1.85275e-20
11.4647,1.67335e-20
11.4696,1.59847e-20
11.5147,1.43707e-20
11.5647,1.32307e-20
11.5695,1.3977e-20
11.6147,1.56379e-20
11.6247,1.47282e-20
11.6347,1.37999e-20
11.6447,1.45161e-20
11.6547,1.42121e-20
11.6647,1.29817e-20
11.6696,1.30911e-20
11.7147,1.3353e-20
11.7647,1.4434e-20
11.7696,1.40454e-20
11.8147,1.80228e-20
11.8247,2.08076e-20
11.8347,2.10824e-20
11.8447,1.99036e-20
11.8547,2.04249e-20
11.8647,2.18546e-20
11.8696,2.22544e-20
11.9147,2.34047e-20
11.9647,2.07072e-20
11.9696,2.02044e-20
12.0147,1.81651e-20
12.0247,1.90235e-20
12.0347,1.9458e-20
12.0447,1.89555e-20
12.0547,1.93605e-20
12.0647,2.03022e-20
12.0696,2.02505e-20
12.1147,1.86214e-20
12.1647,1.62037e-20
12.1695,1.61399e-20
12.2147,1.29626e-20
12.2247,1.07944e-20
12.2347,1.01127e-20
12.2447,1.1324e-20
12.2547,1.15427e-20
12.2647,1.05281e-20
12.2696,1.0406e-20
12.3147,1.1119e-20
12.3647,1.40777e-20
12.3696,1.41571e-20
12.4147,1.62217e-20
12.4247,1.65222e-20
12.4347,1.73447e-20
12.4447,1.80426e-20
12.4547,1.85014e-20
12.4647,1.87677e-20
12.4696,1.85942e-20
12.5147,1.94559e-20
12.5647,2.02479e-20
12.5696,2.06956e-20
12.6147,2.17911e-20
12.6247,2.1823e-20
12.6347,2.24188e-20
12.6447,2.11033e-20
12.6547,1.98706e-20
12.6647,2.0502e-20
12.6696,2.05206e-20
12.7147,1.66898e-20
12.7647,1.30193e-20
12.7696,1.33732e-20
12.8147,1.3411e-20
12.8247,1.22984e-20
12.8347,1.26142e-20
12.8447,1.3259e-20
12.8547,1.11632e-20
12.8647,9.98064e-21
12.8696,1.07912e-20
12.9147,1.25832e-20
12.9647,1.32977e-20
12.9696,1.36125e-20
13.0147,1.41732e-20
13.0247,1.40698e-20
13.0347,1.56258e-20
13.0447,1.74555e-20
13.0547,1.6775e-20
13.0647,1.67437e-20
13.0695,1.79216e-20
13.1147,2.05502e-20
13.1647,1.68473e-20
13.1696,1.65831e-20
13.2147,1.13075e-20
13.2247,9.63503e-21
13.2347,8.90679e-21
13.2447,9.25168e-21
13.2547,9.34641e-21
13.2647,1.03633e-20
13.2696,1.12615e-20
13.3147,1.54406e-20
13.3647,1.67797e-20
13.3696,1.80584e-20
13.4147,2.14347e-20
13.4247,1.97644e-20
13.4348,1.73907e-20
13.4447,1.89927e-20
13.4547,1.98292e-20
13.4647,1.80257e-20
13.4696,1.75538e-20
13.5147,1.91554e-20
13.5647,1.95001e-20
13.5696,1.98557e-20
13.6147,2.64972e-20
13.6247,2.65602e-20
13.6347,2.60231e-20
13.6447,2.803e-20
13.6547,2.9399e-20
13.6647,2.78529e-20
13.6696,2.70989e-20
13.7147,2.57154e-20
13.7647,2.14473e-20
13.7696,1.97846e-20
13.8148,1.71656e-20
13.8247,1.73625e-20
13.8347,1.81795e-20
13.8447,1.7395e-20
13.8548,1.61544e-20
13.8647,1.64197e-20
13.8696,1.68785e-20
13.9147,1.58242e-20
13.9647,1.77003e-20
13.9696,1.78553e-20
14.0147,2.00055e-20
14.0247,2.0155e-20
14.0347,2.03519e-20
14.0447,2.1255e-20
14.0547,2.1103e-20
14.0647,1.99456e-20
14.0696,1.99519e-20
14.1147,2.21845e-20
14.1647,2.21225e-20
14.1696,2.2734e-20
14.2147,2.36625e-20
14.2248,2.33495e-20
14.2348,2.16894e-20
14.2447,2.16076e-20
14.2547,2.25285e-20
14.2648,2.14861e-20
14.2696,2.05428e-20
14.3148,1.56926e-20
14.3648,1.18029e-20
14.3696,1.13035e-20
14.4147,8.99786e-21
14.4248,9.92313e-21
14.4347,1.04725e-20
14.4447,9.09978e-21
14.4547,9.11308e-21
14.4648,1.18899e-20
14.4696,1.29358e-20
14.5148,1.45003e-20
14.5647,1.51518e-20
14.5696,1.57217e-20
14.6148,1.75549e-20
14.6247,1.78317e-20
14.6348,1.87723e-20
14.6448,1.91123e-20
14.6548,1.90357e-20
14.6647,2.0307e-20
14.6696,2.09183e-20
14.7148,2.35941e-20
14.7648,2.38139e-20
14.7696,2.40318e-20
14.8147,2.51034e-20
14.8247,2.35497e-20
14.8348,2.30794e-20
14.8448,2.41582e-20
14.8547,2.43562e-20
14.8647,2.36654e-20
14.8696,2.35449e-20
14.9147,2.2432e-20
14.9648,2.37142e-20
14.9696,2.36952e-20
15.0148,2.37888e-20
15.0248,2.18121e-20
15.0348,2.36247e-20
15.0448,2.45413e-20
15.0548,2.15839e-20
15.0648,2.00055e-20
15.0696,2.05761e-20
15.1148,2.0902e-20
15.1648,1.66501e-20
15.1696,1.70882e-20
15.2148,1.48096e-20
15.2248,1.3476e-20
15.2347,1.47179e-20
15.2448,1.67346e-20
15.2548,1.54764e-20
15.2648,1.48061e-20
15.2696,1.57854e-20
15.3148,1.90296e-20
15.3647,1.68968e-20
15.3696,1.78505e-20
15.4148,2.1422e-20
15.4248,2.1542e-20
15.4348,1.92099e-20
15.4448,1.95601e-20
15.4548,2.08221e-20
15.4648,2.04692e-20
15.4696,2.03359e-20
15.5148,1.9747e-20
15.5648,2.01648e-20
15.5696,2.06984e-20
15.6148,2.20866e-20
15.6248,2.23941e-20
15.6348,2.24962e-20
15.6448,2.28976e-20
15.6548,2.21901e-20
15.6648,2.20735e-20
15.6696,2.27851e-20
15.7148,2.51999e-20
15.7648,2.40911e-20
15.7696,2.39876e-20
15.8148,2.496e-20
15.8248,2.31144e-20
15.8348,2.30311e-20
15.8448,2.42987e-20
15.8548,2.32311e-20
15.8648,2.19578e-20
15.8696,2.2411e-20
15.9148,2.34132e-20
15.9648,2.38019e-20
15.9696,2.3652e-20
16.0148,3.17123e-20
16.0248,3.22589e-20
16.0348,3.0829e-20
16.0448,3.25289e-20
16.0548,3.48706e-20
16.0648,3.30773e-20
16.0696,3.16958e-20
16.1148,3.01243e-20
16.1648,2.76047e-20
16.1696,2.69506e-20
16.2148,2.19844e-20
16.2248,2.16922e-20
16.2348,2.10714e-20
16.2448,2.17394e-20
16.2548,2.2913e-20
16.2648,2.17804e-20
16.2696,2.06911e-20
16.3148,2.12895e-20
16.3648,2.48308e-20
16.3696,2.55279e-20
16.4148,2.6304e-20
16.4248,2.5915e-20
16.4348,2.68245e-20
16.4448,2.67557e-20
16.4548,2.54775e-20
16.4648,2.58989e-20
16.4696,2.6802e-20
16.5148,2.80593e-20
16.5648,3.05682e-20
16.5696,3.05589e-20
16.6148,3.48598e-20
16.6248,3.74054e-20
16.6348,3.74486e-20
16.6448,3.49046e-20
16.6548,3.37791e-20
16.6648,3.43722e-20
16.6696,3.43872e-20
16.7148,3.09708e-20
16.7648,2.57216e-20
16.7696,2.54578e-20
16.8148,1.99838e-20
16.8248,2.02003e-20
16.8348,2.04141e-20
16.8448,1.91982e-20
16.8548,1.83656e-20
16.8648,1.86252e-20
16.8696,1.84982e-20
16.9148,1.7276e-20
16.9648,1.83438e-20
16.9696,1.91131e-20
17.0148,1.73139e-20
17.0248,1.39178e-20
17.0348,1.48938e-20
17.0448,1.78606e-20
17.0548,1.74333e-20
17.0648,1.75823e-20
17.0696,1.88407e-20
17.1148,2.3152e-20
17.1648,2.39643e-20
17.1696,2.41719e-20
17.2148,2.38423e-20
17.2248,2.25932e-20
17.2348,2.19415e-20
17.2448,2.26607e-20
17.2548,2.26753e-20
17.2648,2.20529e-20
17.2696,2.1866e-20
17.3148,2.27388e-20
17.3648,1.90411e-20
17.3696,1.91949e-20
17.4148,1.98914e-20
17.4248,1.96804e-20
17.4348,1.94761e-20
17.4448,1.94957e-20
17.4548,1.94199e-20
17.4648,1.96864e-20
17.4696,1.9735e-20
17.5148,1.95815e-20
17.5648,2.07598e-20
17.5696,2.19707e-20
17.6148,2.88019e-20
17.6248,2.73452e-20
17.6348,2.87672e-20
17.6448,3.09392e-20
17.6548,2.79456e-20
17.6648,2.52588e-20
17.6696,2.61597e-20
17.7149,2.60424e-20
17.7648,2.48009e-20
